customer_id,customer_name,contact_email,signup_date,demographic_segment,geographic_location
67,Customer 67,customer67@example.com,2017-01-01,Unemployed,US-East
45,Customer 45,customer45@example.com,2017-01-04,Student,EU-Central
48,Customer 48,customer48@example.com,2017-01-16,Student,US-East
14,Customer 14,customer14@example.com,2017-01-18,Retired,APAC
63,Customer 63,customer63@example.com,2017-02-14,Student,US-West
79,Customer 79,customer79@example.com,2017-03-14,Professional,EU-North
66,Customer 66,customer66@example.com,2017-03-25,Retired,US-West
11,Customer 11,customer11@example.com,2017-04-29,Unemployed,US-East
89,Customer 89,customer89@example.com,2017-05-20,Unemployed,APAC
80,Customer 80,customer80@example.com,2017-05-25,Student,US-East
6,Customer 6,customer6@example.com,2017-06-23,Student,EU-Central
78,Customer 78,customer78@example.com,2017-06-24,Student,US-East
41,Customer 41,customer41@example.com,2017-06-27,Professional,EU-Central
22,Customer 22,customer22@example.com,2017-07-06,Unemployed,US-West
57,Customer 57,customer57@example.com,2017-07-09,Unemployed,US-West
73,Customer 73,customer73@example.com,2017-07-28,Unemployed,EU-North
98,Customer 98,customer98@example.com,2017-08-04,Retired,EU-Central
24,Customer 24,customer24@example.com,2017-08-11,Unemployed,EU-Central
26,Customer 26,customer26@example.com,2017-08-18,Student,EU-North
51,Customer 51,customer51@example.com,2017-08-23,Unemployed,APAC
85,Customer 85,customer85@example.com,2017-08-31,Retired,EU-North
64,Customer 64,customer64@example.com,2017-09-05,Student,US-West
94,Customer 94,customer94@example.com,2017-10-03,Unemployed,APAC
2,Customer 2,customer2@example.com,2017-10-19,Retired,US-West
38,Customer 38,customer38@example.com,2017-10-19,Professional,US-East
27,Customer 27,customer27@example.com,2017-11-12,Unemployed,EU-Central
54,Customer 54,customer54@example.com,2017-11-16,Student,EU-North
88,Customer 88,customer88@example.com,2017-12-01,Retired,EU-Central
33,Customer 33,customer33@example.com,2017-12-24,Unemployed,EU-Central
30,Customer 30,customer30@example.com,2018-01-15,Professional,APAC
23,Customer 23,customer23@example.com,2018-01-15,Professional,EU-Central
77,Customer 77,customer77@example.com,2018-02-06,Professional,US-East
18,Customer 18,customer18@example.com,2018-02-22,Student,EU-Central
43,Customer 43,customer43@example.com,2018-02-22,Retired,APAC
96,Customer 96,customer96@example.com,2018-03-07,Unemployed,EU-North
49,Customer 49,customer49@example.com,2018-03-24,Professional,US-West
59,Customer 59,customer59@example.com,2018-04-21,Unemployed,EU-North
34,Customer 34,customer34@example.com,2018-05-23,Professional,US-West
7,Customer 7,customer7@example.com,2018-05-24,Student,US-West
87,Customer 87,customer87@example.com,2018-05-26,Retired,APAC
74,Customer 74,customer74@example.com,2018-06-02,Student,APAC
68,Customer 68,customer68@example.com,2018-06-10,Unemployed,EU-North
81,Customer 81,customer81@example.com,2018-06-22,Retired,US-East
65,Customer 65,customer65@example.com,2018-07-08,Unemployed,US-East
25,Customer 25,customer25@example.com,2018-07-22,Retired,APAC
62,Customer 62,customer62@example.com,2018-07-28,Student,US-West
92,Customer 92,customer92@example.com,2018-08-03,Unemployed,EU-Central
76,Customer 76,customer76@example.com,2018-08-04,Unemployed,US-West
91,Customer 91,customer91@example.com,2018-08-17,Professional,US-East
20,Customer 20,customer20@example.com,2018-08-24,Unemployed,US-West
44,Customer 44,customer44@example.com,2018-08-27,Retired,EU-North
4,Customer 4,customer4@example.com,2018-09-03,Unemployed,EU-Central
50,Customer 50,customer50@example.com,2018-09-04,Unemployed,EU-Central
52,Customer 52,customer52@example.com,2018-09-09,Retired,US-West
82,Customer 82,customer82@example.com,2018-09-18,Professional,EU-Central
16,Customer 16,customer16@example.com,2018-10-19,Unemployed,EU-North
84,Customer 84,customer84@example.com,2018-11-28,Student,EU-Central
36,Customer 36,customer36@example.com,2018-11-29,Professional,APAC
75,Customer 75,customer75@example.com,2018-12-26,Professional,EU-North
5,Customer 5,customer5@example.com,2018-12-28,Retired,US-West
39,Customer 39,customer39@example.com,2018-12-29,Retired,US-East
9,Customer 9,customer9@example.com,2019-01-27,Professional,US-West
19,Customer 19,customer19@example.com,2019-02-01,Unemployed,APAC
12,Customer 12,customer12@example.com,2019-02-10,Unemployed,APAC
71,Customer 71,customer71@example.com,2019-03-23,Student,APAC
69,Customer 69,customer69@example.com,2019-03-27,Unemployed,US-East
29,Customer 29,customer29@example.com,2019-03-28,Student,US-West
61,Customer 61,customer61@example.com,2019-04-11,Retired,EU-North
13,Customer 13,customer13@example.com,2019-04-17,Student,EU-North
99,Customer 99,customer99@example.com,2019-04-22,Retired,EU-Central
90,Customer 90,customer90@example.com,2019-04-30,Unemployed,APAC
1,Customer 1,customer1@example.com,2019-05-04,Unemployed,US-West
15,Customer 15,customer15@example.com,2019-05-05,Retired,US-East
31,Customer 31,customer31@example.com,2019-05-14,Retired,US-West
3,Customer 3,customer3@example.com,2019-05-15,Retired,US-East
55,Customer 55,customer55@example.com,2019-05-19,Retired,EU-North
32,Customer 32,customer32@example.com,2019-06-04,Unemployed,US-East
17,Customer 17,customer17@example.com,2019-06-23,Unemployed,US-East
8,Customer 8,customer8@example.com,2019-06-30,Professional,US-East
72,Customer 72,customer72@example.com,2019-06-30,Student,US-West
28,Customer 28,customer28@example.com,2019-07-03,Professional,EU-Central
46,Customer 46,customer46@example.com,2019-07-09,Student,EU-North
35,Customer 35,customer35@example.com,2019-07-18,Professional,US-East
47,Customer 47,customer47@example.com,2019-08-05,Retired,EU-Central
40,Customer 40,customer40@example.com,2019-08-06,Professional,EU-Central
21,Customer 21,customer21@example.com,2019-08-23,Retired,APAC
56,Customer 56,customer56@example.com,2019-08-24,Unemployed,EU-North
42,Customer 42,customer42@example.com,2019-09-17,Professional,EU-Central
58,Customer 58,customer58@example.com,2019-10-17,Student,EU-North
93,Customer 93,customer93@example.com,2019-12-01,Unemployed,EU-North
37,Customer 37,customer37@example.com,2019-12-08,Unemployed,EU-Central
95,Customer 95,customer95@example.com,2019-12-08,Retired,APAC
70,Customer 70,customer70@example.com,2019-12-14,Unemployed,EU-North
10,Customer 10,customer10@example.com,2019-12-20,Unemployed,EU-North
86,Customer 86,customer86@example.com,2019-12-22,Professional,US-West
97,Customer 97,customer97@example.com,2019-12-25,Student,APAC
83,Customer 83,customer83@example.com,2019-12-29,Student,EU-Central
60,Customer 60,customer60@example.com,2020-01-19,Student,EU-North
100,Customer 100,customer100@example.com,2020-01-19,Professional,US-East
53,Customer 53,customer53@example.com,2020-01-22,Unemployed,US-West
